Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
C,"Park, J; Moon, M; Hwang, S; Yeom, K",,,IEEE,"Park, Joonseok; Moon, Mikyeong; Hwang, Seongjin; Yeom, Keunhyuk",,,Development of simulation system for validating contextual rule in smart home,"9TH INTERNATIONAL CONFERENCE ON ADVANCED COMMUNICATION TECHNOLOGY: TOWARD NETWORK INNOVATION BEYOND EVOLUTION, VOLS 1-3",,,,,,,,,,ubiquitous; smart home; simulation,,"The realization of a smart home is accelerating with the approach of the ubiquitous computing era. A smart home should provide proper service as user's preference. In addition, it should guarantee appropriate responses to changes in the external environment. To achieve these objectives, a smart home requires a service definition that is provided by smart home environment and a validation approach for a defined service activity. If these steps are not included in smart home implementation, then a lot of time will be spent in fixing errors and for maintenance. Therefore, for High quality smart homes and for testing various situations, a simulation system is required. We propose such a simulation system for providing a personalized smart home.",,,,,,,,,,,,,,,,,,,,,,,,,2007,,,,,,,1143,+,,10.1109/ICACT.2007.358560,http://dx.doi.org/10.1109/ICACT.2007.358560,,,,Telecommunications,,Telecommunications,,,,,,,,View Full Record in Web of Science
C,"Kim, S; Yoon, J","Marcus, A",,,"Kim, Sunwoo; Yoon, Jeonghyuk","Marcus, A",,An Exploratory Study on Consumer's Needs on Smart Home in Korea,"DESIGN, USER EXPERIENCE, AND USABILITY: TECHNOLOGICAL CONTEXTS, PT III",Lecture Notes in Computer Science,,,,,,,,,Smart home; Home IoT; Korean case study; Consumer needs,,"In the middle of transformation to IoT society, interests on smart home services are increasing. While the needs on smart home can be different by culture and lifestyle, there are only a few studies on smart home user experiences in Korean situation. Six focus group discussions (FGD) were conducted and the main findings were as follows; first of all, whereas smart home is still new concept for general consumers and IoT is felt rather far from their everyday lives, smart home services with tangible benefits were acceptable. In addition, the adoption of smart home is related with user's lifestyle. However, concerns on customer care and privacy are critical barriers for its adoption. In the new era of IoT, it is important to understand consumer's attitudes and experiences towards smart home services. The service providers are encouraged to plan and develop the user oriented services and marketing communications.",,,,,,,,,,,,,,,,,,,,,,,,,2016,9748,,,,,,337,345,,10.1007/978-3-319-40406-6_32,http://dx.doi.org/10.1007/978-3-319-40406-6_32,,,,"Computer Science, Cybernetics; Computer Science, Software Engineering; Computer Science, Theory & Methods",,Computer Science,,,,,,,,View Full Record in Web of Science
J,"Xu, K; Wang, XL; Wei, W; Song, HB; Mao, B",,,,"Xu, Ke; Wang, Xiaoliang; Wei, Wei; Song, Houbing; Mao, Bo",,,Toward Software Defined Smart Home,IEEE COMMUNICATIONS MAGAZINE,,,,,,,,,,,NETWORKS,"In recent years, the smart home field has caught wide attention and witnessed rapid development. Smart devices, continuously increasing in number, make user management and implementation more difficult while promoting the development of the smart home. How to design an efficient smart home management platform is one of the great challenges the current smart home field faces. This article refers to the core idea of SDN, and proposed the software defined smart home platform, SDSH for short. The design features of virtualization, openness, and centralization can effectively integrate the heterogeneous network devices in the smart home platform, and flexibly adapt to the great difference between family scenes and user demands. At the same time, this article brings up the core technology of SDSH, and discusses the application value of the four core technologies and the new challenges the current technology is facing in a smart home scenario. In the end, regarding the SDSH application scenarios, this article analyzes the household experience innovation brought by this kind of smart home management platform, and the opportunities and challenges the SDSH platform faces.",,,,,,,,,,,,,,,,,,,,,,,,MAY,2016,54,5,,,,,116,122,,10.1109/MCOM.2016.7470945,http://dx.doi.org/10.1109/MCOM.2016.7470945,,,,"Engineering, Electrical & Electronic; Telecommunications",,Engineering; Telecommunications,,,,,,,,View Full Record in Web of Science
J,"Zhang, Q; Li, MY; Wu, YJ",,,,"Zhang, Quan; Li, Meiyu; Wu, Yijin",,,Smart home for elderly care: development and challenges in China,BMC GERIATRICS,,,,,,,,,,Smart home; Elderly care; China,OLDER; TECHNOLOGY; INTERNET,"Background China's smart home for elderly care emerged in 2008, and had went through four developmental stages which consists of seed stage, start-up stage, development stage and popularization stage. Main text The status quo and development of smart home for elderly care in China is reviewed, and suggestions are provided on how to further develop China's smart home for elderly care. The focus of China's policies on smart home for elderly care were different during those four developmental stages. Compared with Western countries, China's smart home for elderly care is a policy-driven product rather than technology-driven or demand-driven one. In addition, it is quasi-public goods rather than private goods. These unique characteristics of China's smart home for elderly care not only become the driving force of its rapid development, but also bring many challenges to its development, such as the insufficient demand, the disorderly development, and the waste of public and private resources. Conclusions Although great progress has been made in China's smart home care, much efforts are still needed to further advance its development. The technical standards for the elderly care services should be formulated as soon as possible and the existing public and private smart home for elderly care platforms should be combined. Enterprises involved in smart home care services should be encouraged to develop new technologies to reduce the cost of products and services provided by smart home for elderly care.",,,,,,,,,,,,,,,,,,,,,,,,Sep-03,2020,20,1,,,,,,,318,10.1186/s12877-020-01737-y,http://dx.doi.org/10.1186/s12877-020-01737-y,,,,Geriatrics & Gerontology; Gerontology,,Geriatrics & Gerontology,,,,,,,,View Full Record in Web of Science
C,"Yang, MG; Huang, H; Yuan, HZ; Sun, QC",,"Zhou, J; Salvendy, G",,"Yang, Minggang; Huang, He; Yuan, Haozhou; Sun, Qichao",,,Interaction Design of Products for the Elderly in Smart Home Under the Mode of Medical Care and Pension,"HUMAN ASPECTS OF IT FOR THE AGED POPULATION: HEALTHY AND ACTIVE AGING, ITAP 2016, PT II",Lecture Notes in Computer Science,,,,,,,,,Mode of medical and pension; The elderly; Smart home products; Interactive design; User experience,,"The problem of aging population in the world is increasing. Elderly health, daily life and other aspects of the problem with modern information technology, intelligent service facilities or product do not match the contradiction is increasingly prominent. At the same time, sensory function and action ability of the elderly are in the continuous degradation. Their cognitive and learning level is limited, which leads to experiencing smart home hardily. Therefore, it is imperative to study and improve the interaction design of smart home products for the elderly. In this paper, the contradiction between the design of smart home products and the demands of the elderly in daily life is studied under the mode of medical care and pension, as well as case analysis of smart home products for the elderly. The purpose of the paper is to study the type and interaction design of smart home products for the aged. The main method is through the investigation and user analysis of smart home, finding the principles and characteristics of interaction design from the products. Research shows that intelligent products can be divided into three types under the mode of medical and pension: smart home appliances, smart home management system and call monitoring system. Through the mobile Internet, intelligent terminal and touch screen control, smart home can meet the needs of the elderly users seamless, which will be a trend in the design of smart home products.",,,,,,,,,,,,,,,,,,,,,,,,,2016,9755,,,,,,145,156,,10.1007/978-3-319-39949-2_14,http://dx.doi.org/10.1007/978-3-319-39949-2_14,,,,"Computer Science, Interdisciplinary Applications; Gerontology",,Computer Science; Geriatrics & Gerontology,,,,,,,,View Full Record in Web of Science
J,"Yang, LN; Deng, HY; Liu, RP; Wang, P; Dang, XC; Tang, YY; Li, XC",,,,"Yang, Lina; Deng, Haiyu; Liu, Ren Ping; Wang, Patrick; Dang, Xiaocui; Tang, Yuan Yan; Li, Xichun",,,Smart Home Privacy Protection Based on the Improved LSB Information Hiding,INTERNATIONAL JOURNAL OF PATTERN RECOGNITION AND ARTIFICIAL INTELLIGENCE,,,,,,,,,,Smart home privacy protection; DES encryption; the improved LSB information hiding,,"Smart home is an emerging form of the Internet of Things (IoT), enabling people to enjoy a convenient and intelligent life. The data generated by smart home devices are transmitted through the public channel, which is not secure enough, so the secret data in smart home are easily intercepted by malicious adversaries. In order to solve this problem, this paper proposes a smart home privacy protection method combining DES encryption and the improved Least Significant Bit (LSB) information hiding algorithm, changing the practice of directly exposing smart home secret information to the Internet, first, using Data Encryption Standard (DES) encryption to encrypt the smart home information and second, the improved LSB information hiding algorithm is used to hide the ciphertext, so that the adversary cannot detect the smart home secret information. The goal of the scheme is to provide a double protection for the secure transmission of the smart home secret information. If an attacker wants to carry out an attack, it has to break through at least two defense lines, which seems impossible to do. Experiment results show that the improved LSB algorithm is more robust than the existing algorithms, and it is very safe. Therefore, the scheme proposed in this paper is very practical for protecting the smart home secret information.",,,,,,,,,,,,,,,,,,,,,,,,Sep-30,2021,35,12,,,,,,,2160005,10.1142/S0218001421600053,http://dx.doi.org/10.1142/S0218001421600053,,,,"Computer Science, Artificial Intelligence",,Computer Science,,,,,,,,View Full Record in Web of Science
J,"Schill, M; Godefroit-Winkel, D; Diallo, MF; Barbarossa, C",,,,"Schill, Marie; Godefroit-Winkel, Delphine; Diallo, Mbaye Fall; Barbarossa, Camilla",,,Consumers' intentions to purchase smart home objects: Do environmental issues matter?,ECOLOGICAL ECONOMICS,,,,,,,,,,Smart home objects; Eco-friendly products; Environmental concern; Materialism; Purchase intentions,MATERIALISM CONSTRUCT; SCALE DEVELOPMENT; GREEN PRODUCTS; MEDIATING ROLE; ADOPTION; TECHNOLOGY; ATTITUDES; BEHAVIOR; VALUES; DETERMINANTS,"The literature that investigates consumers' motivations to adopt smart home objects has focused on the egocentric, utilitarian, and functional benefits that smart home objects may provide to consumers. Although smart home objects have also been acknowledged to promote environmental sustainability, investigation of the influence of altruistic and ecological motivational variables on consumers' willingness to purchase these products has been limited. This study presents a conceptual model that considers three relevant altruistic, ecological antecedents of eco-friendly product adoption (environmental beliefs, environmental concern, and smart home objects' perceived usefulness for the environment) and assesses their influence on the intention to purchase smart home objects. Furthermore, it uncovers the moderating role of the two dimensions of materialism (success and happiness) and hypothesizes that they moderate the relationship between environmental concern and intentions to purchase smart home objects. Structural equation modeling is applied to data from a sample of 641 French respondents. The results confirm that altruistic, ecological variables do matter in developing intentions to purchase smart home objects. Environmental concern and perceived usefulness positively affect consumers' intentions to purchase smart home objects. Furthermore, both happiness and success negatively moderate the effect of environmental concern on consumers' intentions to purchase smart home objects.",,,,,,,,,,,,,,,,,,,,,,,,JUL,2019,161,,,,,,176,185,,10.1016/j.ecolecon.2019.03.028,http://dx.doi.org/10.1016/j.ecolecon.2019.03.028,,,,Ecology; Economics; Environmental Sciences; Environmental Studies,,Environmental Sciences & Ecology; Business & Economics,,,,,,,,View Full Record in Web of Science
C,"Woo, JB; Lim, YK",,,ACM,"Woo, Jong-bum; Lim, Youn-kyung",,,User Experience in Do-It-Yourself-Style Smart Homes,PROCEEDINGS OF THE 2015 ACM INTERNATIONAL JOINT CONFERENCE ON PERVASIVE AND UBIQUITOUS COMPUTING (UBICOMP 2015),,,,,,,,,,Smart Home; Do-It-Yourself; Design; End-User Programming; Domestic Technology,,"Do-it-yourself (DIY)-style smart home products enable users to create their own smart homes by installing sensors and actuators. DIY smart home products are a potential solution to current problems related to home automation products, such as inflexible user controls and high costs of installation. Although the expected user experience of DIY smart home products is different from that of previous home automation products, research on DIY smart home products is still in its early stages. In this paper, we report a 3-week in situ observational study involving eight households. The results suggest six stages of the DIY smart home usage cycle and design implications for improving the user experience of DIY smart home products.",,,,,,,,,,,,,,,,,,,,,,,,,2015,,,,,,,779,790,,10.1145/2750858.2806063,http://dx.doi.org/10.1145/2750858.2806063,,,,"Computer Science, Theory & Methods; Engineering, Electrical & Electronic",,Computer Science; Engineering,,,,,,,,View Full Record in Web of Science
C,"Vostinar, P; Kneznik, J",,"Koricic, M; Skala, K; Car, Z; CincinSain, M; Sruk, V; Skvorc, D; Ribaric, S; Jerbic, B; Gros, S; Vrdoljak, B; Mauher, M; Tijan, E; Katulik, T; Pale, P; Grbac, TG; Fijan, NF; Boukalov, A; Cisic, D; Gradisnik, V",,"Vostinar, P.; Kneznik, J.",,,Using BBC micro:bit in primary and secondary schools for creating simple smart home,"2020 43RD INTERNATIONAL CONVENTION ON INFORMATION, COMMUNICATION AND ELECTRONIC TECHNOLOGY (MIPRO 2020)",,,,,,,,,,BBC micro:bit; programming; teaching informatics; smart home,,"The concept of a smart home is getting more and more popular for people of all ages. You can meet the term smart home not only on the web, but also in schools. Students can solve their seminar works on smart home topics such as Is my home smart or how will the future home looks like, etc. With popular educational board BBC micro:bit students can create their own simple smart home concept and practice programming thinking. This contribution deals with using BBC micro: bit in primary and secondary schools to create a simple smart home concept, which will use BBC micro:bit, crowtail STEAM edu kit for micro:bit, 1.8 inch colorful display and smart home kit.",,,,,,,,,,,,,,,,,,,,,,,,,2020,,,,,,,648,652,,,,,,,"Engineering, Electrical & Electronic; Telecommunications",,Engineering; Telecommunications,,,,,,,,View Full Record in Web of Science
C,"Xu, ZH",,,IEEE,Xu Zhenhua,,,Design and Implementation of Intelligent Gateway for Smart Home,PROCEEDINGS OF THE 28TH CHINESE CONTROL AND DECISION CONFERENCE (2016 CCDC),Chinese Control and Decision Conference,,,,,,,,,Smart Home; Internet of Things; Intelligent gateway; Linux,,"With the gradual development of Internet of Things (IOT), there is a growing demand for intelligent household products in Smart Home. The access to a network through traditional technologies like IPv4, Bluetooth and ZigBee can no longer meet the requirements of Smart Home. In this paper, the Smart Home network based on the next generation of network protocol IPv6 is designed, and an IPv6-based Smart Home intelligent gateway system is implemented. Thus, the intelligent household products can be directly connected to the Internet, which will bring an unprecedented experience to the users. Major technical points are illustrated in the process of constructing Smart Home network, including the design of the intelligent gateway control system for Smart Home.",,,,,,,,,,,,,,,,,,,,,,,,,2016,,,,,,,4713,4718,,,,,,,"Automation & Control Systems; Engineering, Electrical & Electronic",,Automation & Control Systems; Engineering,,,,,,,,View Full Record in Web of Science
C,"Liang, XY",,,IEEE,Liang Xinyue,,,Research on the Construction and Optimization of Marketing System of Smart Home Products,2020 5TH INTERNATIONAL CONFERENCE ON SMART GRID AND ELECTRICAL AUTOMATION (ICSGEA 2020),,,,,,,,,,Smart home; Smart home products; Marketing system; 4P Marketing Strategy,,"In order to construct and optimize the marketing system of smart home products and open the market for smart home products, this paper puts forward a novel marketing system of smart home products. Based on the famous 4P Marketing Strategy, the system takes the demand of consumers as the center, and optimizes and adjusts the marketing system of traditional household products. The research results show that the system can not only increase the sales of smart home products, but also make consumers more willing to buy smart home products.",,,,,,,,,,,,,,,,,,,,,,,,,2020,,,,,,,375,379,,10.1109/ICSGEA51094.2020.00087,http://dx.doi.org/10.1109/ICSGEA51094.2020.00087,,,,"Automation & Control Systems; Green & Sustainable Science & Technology; Engineering, Electrical & Electronic",,Automation & Control Systems; Science & Technology - Other Topics; Engineering,,,,,,,,View Full Record in Web of Science
C,"Kang, B; Kim, S; Choi, MI; Cho, K; Jang, S; Park, S",,"Chen, J; Yang, LT",,"Kang, Byeongkwan; Kim, Seunghwan; Choi, Myeong-in; Cho, Keonhee; Jang, Seongman; Park, Sehyun",,,Analysis of Types and Importance of Sensors in Smart Home Services,PROCEEDINGS OF 2016 IEEE 18TH INTERNATIONAL CONFERENCE ON HIGH PERFORMANCE COMPUTING AND COMMUNICATIONS; IEEE 14TH INTERNATIONAL CONFERENCE ON SMART CITY; IEEE 2ND INTERNATIONAL CONFERENCE ON DATA SCIENCE AND SYSTEMS (HPCC/SMARTCITY/DSS),,,,,,,,,,smart home service; sensor importance; Analysis sensor types; internet of things,INTELLIGENT; MIDDLEWARE; SYSTEM,"In the paradigm shift of smart home to smart city, more sensors and smart objects will be deployed for user-centric service. To design the advanced smart city, understanding and analysis of duplicated sensors in current smart home services is important. In this paper, we categorize the smart home services and analyze the types of sensors that used in the smart home, and then we estimate the importance of sensors using the sensor tree. As a result, the motion sensor has high importance score and it is used in 7 smart home services.",,,,,,,,,,,,,,,,,,,,,,,,,2016,,,,,,,1388,1389,,10.1109/HPCC-SmartCity-DSS.2016.71,http://dx.doi.org/10.1109/HPCC-SmartCity-DSS.2016.71,,,,"Computer Science, Information Systems; Computer Science, Interdisciplinary Applications; Computer Science, Theory & Methods; Telecommunications",,Computer Science; Telecommunications,,,,,,,,View Full Record in Web of Science
C,"Liu, ZY; Cao, QL; Pan, Y; Chen, G",,"Chang, L; Guiran, C; Zhen, L",,"Liu, Zhenyu; Cao, Qinglei; Pan, Yang; Chen, Gui",,,Security and Privacy Protection of Smart Home Based on IPv6,"PROCEEDINGS OF THE 2014 INTERNATIONAL CONFERENCE ON MECHATRONICS, ELECTRONIC, INDUSTRIAL AND CONTROL ENGINEERING",AER-Advances in Engineering Research,,,,,,,,,Smart Home; IPv6; Security and Privacy Protection; Trust; Strategy,,"At home and abroad, smart home, after more than ten years development is getting more and more widely welcomed. Smart home technology is developing rapidly, and with the emergence of IPv6, smart home based on IPv6 is becoming a trend. Meanwhile, security and privacy protection of smart home is receiving more attention. Although IPv6 is more secure than IPV4, there are still issues of privacy loss. In this paper, we focus on the security and privacy protection of smart home based on IPv6 and propose two different solutions respectively, that is, security and privacy protection based on trust as well as that based on strategy. These two solutions achieve security and privacy protection via model about trust and strategy mechanism respectively. On the basis of these two solutions, a framework of security and privacy protection system of smart home is designed. Through the system we designed, the security and privacy protection of smart home based on IPv6 is achieved.",,,,,,,,,,,,,,,,,,,,,,,,,2014,5,,,,,,517,+,,,,,,,"Engineering, Multidisciplinary; Engineering, Electrical & Electronic; Materials Science, Multidisciplinary",,Engineering; Materials Science,,,,,,,,View Full Record in Web of Science
C,"Williams, V; Terence, JS; Immaculate, J",,,IEEE,"Williams, Vasanth; Terence, Sebastian J.; Immaculate, Jude",,,Survey on Internet of Things based Smart Home,PROCEEDINGS OF THE 2019 INTERNATIONAL CONFERENCE ON INTELLIGENT SUSTAINABLE SYSTEMS (ICISS 2019),,,,,,,,,,Smart Home; Internet of Things (IoT); Smart home security systems; sensors; Home automation,SECURITY,"Internet of Things (IoT) enables tiny sensors and actuators to be more accessible and responsive. Researchers have applied IoT techniques in different domains such as health monitoring, agriculture, food supply, smart city and so on. In these applications, IoT technologies enabled the end user to monitor and control different devices from remote places. To increase security and provide variant facilities in a home environment, researchers applied IoT to create a smart home. This paper contains a study of different IoT based smart home techniques, we have classified IoT based smart home techniques into two categories namely, IoT based Smart Home Automation and IoT based Smart Home Security Systems. In this study, we have discussed various sensors, doorways, and communication protocols used in IoT based smart home.",,,,,,,,,,,,,,,,,,,,,,,,,2019,,,,,,,460,464,,,,,,,"Computer Science, Artificial Intelligence; Green & Sustainable Science & Technology",,Computer Science; Science & Technology - Other Topics,,,,,,,,View Full Record in Web of Science
C,"Malche, T; Maheshwary, P",,,IEEE,"Malche, Timothy; Maheshwary, Priti",,,Internet of Things (IoT) for building Smart Home System,"2017 INTERNATIONAL CONFERENCE ON I-SMAC (IOT IN SOCIAL, MOBILE, ANALYTICS AND CLOUD) (I-SMAC)",,,,,,,,,,IoT platform architecture; smart home; machine to machine communication,,"Internet of Things (IoT) is an emerging technology that is making our world smarter. The idea of connected world cannot be imagined without IoT. An IoT based Smart Home is one such example. In IoT enabled Smart Home environment various things such as lighting, home appliances, computers, security camera etc. all are connected to the Internet and allowing user to monitor and control things regardless of time and location constraint. This paper describes Frugal Labs IoT Platform (FLIP) for building IoT enabled Smart Home. This paper discusses functions of Smart Home and its applications and introduces FLIP architecture with implementation of Smart Home services using FLIP through a proposed system. The proposed system presented in this paper is used for monitoring and controlling Smart Home environment.",,,,,,,,,,,,,,,,,,,,,,,,,2017,,,,,,,65,70,,,,,,,"Computer Science, Hardware & Architecture; Computer Science, Interdisciplinary Applications",,Computer Science,,,,,,,,View Full Record in Web of Science
J,"Bansal, M; Chana, I; Clarke, S",,,,"Bansal, Maggi; Chana, Inderveer; Clarke, Siobhan",,,Enablement of IoT Based Context-Aware Smart Home with Fog Computing,JOURNAL OF CASES ON INFORMATION TECHNOLOGY,,,,,,,,,,Context-Aware Computing; Fog Computing; Internet of Things; IoT; Smart Home,INTERNET; THINGS,"The recent advent of Internet of Things (IoT), has given rise to a plethora of smart verticals-smart homes being one of them. Smart Home is a classic example of IoT, wherein smart appliances connected via home gateways constitute a local home network to assist people in activities of daily life. Smart Home involves IoT-based automation (such as smart lighting, heating, surveillance etc.), remote monitoring and control of smart appliances. Besides automation, human-in-the-loop is a unique characteristic of Smart home to offer personalized services. Understanding the human behavior requires context processing. Thus, enablement of Smart home involves two prominent technologies IoT and context-aware computing. Further, local devices lying in the smart home have the implicit location and situational information, hence fog computing can offer real-time smart home services. In this paper, the authors propose ICON (IoT-based CONtext-aware) framework for context-aware IoT applications such as smart home, further ICON leverages fog-based IoT middleware to perform context-aware processing.",,,,,,,,,,,,,,,,,,,,,,,,OCT-DEC,2017,19,4,,,SI,,1,12,,10.4018/JCIT.2017100101,http://dx.doi.org/10.4018/JCIT.2017100101,,,,"Computer Science, Information Systems",,Computer Science,,,,,,,,View Full Record in Web of Science
C,"OConnor, TJ; Jessee, D; Campos, D",,,ACM,"OConnor, T. J.; Jessee, Dylan; Campos, Daniel",,,Through the Spyglass: Towards IoT Companion App Man-in-the-Middle Attacks,PROCEEDINGS OF 14TH WORKSHOP ON CYBER SECURITY EXPERIMENTATION AND TEST (CSET 2021),,,,,,,,,,,,"The lack of mature development in smart home companion applications complicates Internet of Things (IoT) security and privacy. Companion applications offer transparency and control for smart home devices that otherwise lack displays or interfaces. We access our smart home devices through a distributed communication architecture that seamlessly integrates smart home devices, cloudbased servers, and our mobile devices. This paper seeks to better understand IoT security and privacy by studying the design flaws of this distributed communications channel for smart home devices. To understand this, we then assess the vulnerability of 20 popular smart home vendors to this attack. Our analysis discovers pervasive failures in the distributed communications channels across 16 different vendors. A successful attack allows adversaries to conceal device users, manipulate the state of locks, spoof camera images, and manipulate history log files. While our work uncovers pervasive failures, vendors can take measures to improve confidentiality and integrity in smart home devices and their applications.",,,,,,,,,,,,,,,,,,,,,,,,,2021,,,,,,,58,62,,10.1145/3474718.3474729,http://dx.doi.org/10.1145/3474718.3474729,,,,"Computer Science, Information Systems",,Computer Science,,,,,,,,View Full Record in Web of Science
C,"Etinger, D; Jeger, L; Babic, S",,"Ahram, TZ; Falcao, CS",,"Etinger, Darko; Jeger, Lorena; Babic, Snjezana",,,The Acceptance Factors of Smart Home Technologies: The Case of Croatian Households,"ADVANCES IN USABILITY, USER EXPERIENCE, WEARABLE AND ASSISTIVE TECHNOLOGY, AHFE 2021",Lecture Notes in Networks and Systems,,,,,,,,,Smart home; Acceptance; Trust; Security,USER ACCEPTANCE,"Smart home technologies are becoming increasingly popular by providing a quality lifestyle to its residents. Due to communication between various sensors and devices, the smart home allows complete connectivity and control wherever the household members are. It provides its residents a simplification of daily responsibilities and household chores by adapting it to specific needs. The smart home also provides great economic savings by reducing utility bills. However, the high price of the devices themselves continues to deter their future users, especially in Croatia. The main goal of this paper was to examine the smart home technologies users about their familiarity with smart home solutions and to identify the acceptance factors, especially trust and security factors. The results of the research conducted in this paper can serve as supporting information about smart home solutions acceptance.",,,,,,,,,,,,,,,,,,,,,,,,,2021,275,,,,,,512,518,,10.1007/978-3-030-80091-8_60,http://dx.doi.org/10.1007/978-3-030-80091-8_60,,,,"Computer Science, Interdisciplinary Applications; Computer Science, Theory & Methods; Engineering, Manufacturing",,Computer Science; Engineering,,,,,,,,View Full Record in Web of Science
J,"Darem, A; Alhashmi, AA; Jemal, HA",,,,"Darem, Abdulbasit; Alhashmi, Asma A.; Jemal, H. A.",,,Cybersecurity Threats and Countermeasures of the Smart Home Ecosystem,INTERNATIONAL JOURNAL OF COMPUTER SCIENCE AND NETWORK SECURITY,,,,,,,,,,Smart home; Cybersecurity; Internet of Things (IoT); Security countermeasure; Authentication,2-FACTOR AUTHENTICATION SCHEME; IOT; LIGHTWEIGHT; MANAGEMENT; PROTOCOL; INTERNET,"The tremendous growth of the Internet of things is unbelievable. Many IoT devices have emerged on the market over the last decade. This has made our everyday life easier inside our homes. The technology used at home has changed significantly over the past several decades, leading to what is known today as the smart home. However, this growth has also brought new challenges to our home security and privacy. With the smart home becoming more mainstream, cybersecurity issues have become a fundamental concern. The smart home is an environment where heterogeneous devices and appliances are interconnected through the Internet of Things (IoT) to provide smart services to residents. These services include home climate control, energy management, video on demand, music on-demand, remote healthcare, remote control, and other similar services in a ubiquitous manner. Smart home devices can be controlled via the Internet using smartphones. However, connecting smart home appliances to wireless networks and the Internet makes individuals vulnerable to malicious attacks. Remote access within the same environment or over the Internet requires an effective access control mechanism. This paper intends to shed light on how smart home devices are working as well as the type of security and privacy threats of the smart home. It also illustrated the types of authentication methods that can be used with smart home devices. In addition, a comparison of Smart home IoT-based security protocols was presented along with a security countermeasure that can be used in a smart home environment. Finally, a few open problems were mentioned as future research directions for researchers.",,,,,,,,,,,,,,,,,,,,,,,,Mar-30,2022,22,3,,,,,303,311,,10.22937/IJCSNS.2022.22.3.39,http://dx.doi.org/10.22937/IJCSNS.2022.22.3.39,,,,"Computer Science, Information Systems",,Computer Science,,,,,,,,View Full Record in Web of Science
J,"Maalsen, S",,,,"Maalsen, Sophia",,,Revising the smart home as assemblage,HOUSING STUDIES,,,,,,,,,,Smart home; smart home; assemblage; qualitative methods,URBAN; ENERGY; CITY; CONVENIENCE; POLITICS; POLICY; FIRE,"Although aspirations for the 'smart home' have existed since the 1950s, the recent understanding of smart technological interventions as ecosystems of policy, material, people, ICT and data that drive social and spatial change, suggests we need to revise the smart home. From increased leisure time to increased energy efficiency - the smart home has promised, and frequently failed to deliver its utopian promises. First, this paper argues the smart home can be conceptualized as an assemblage of social, economic, political and technological apparatuses. Thinking about the smart home as assemblage allows us to see the network of relationships which constitute it, the work they do in the world, and the subsequent possibilities of becoming. Second, the paper offers innovative methodologies for researching the smart home that draws on the agentive capacities of 'smart' technologies. Such unpacking is critical to understand the work and possibilities of the smart home. The methodologies are productive for thinking about the future of housing research.",,,,,,,,,,,,,,,,,,,,,,,,Oct-20,2020,35,9,,,SI,,1534,1549,,10.1080/02673037.2019.1655531,http://dx.doi.org/10.1080/02673037.2019.1655531,,Aug-19,,Environmental Studies; Regional & Urban Planning; Urban Studies,,Environmental Sciences & Ecology; Public Administration; Urban Studies,,,,,,,,View Full Record in Web of Science
